TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
1578 sentences were reranked out of 1700

PROBABILITY_MODEL=topdown_with_path
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.2; LAMBDA_2=0.2; LAMBDA_3=0.2
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
1;0.8997596493708468;0.9009485158793827;0.9003536901674132;19092;21191;21219
2;0.9006550732833781;0.9001460129056568;0.9004004711425205;19111;21231;21219
3;0.9045666619539092;0.9026948219912524;0.9036297726095758;19194;21263;21219
4;0.9061218719072529;0.9030152169829043;0.904565877067112;19227;21292;21219
5;0.9071586785428154;0.9037089201877935;0.9054305134175311;19249;21300;21219
6;0.9068287855224092;0.9032530629488804;0.9050373924086356;19242;21303;21219
7;0.9070172958197842;0.9035256560724848;0.9052681091251177;19246;21301;21219
8;0.9056034685894717;0.9024562062649697;0.9040270982310877;19216;21293;21219
9;0.9059804891842217;0.902959135744481;0.9044672892799172;19224;21290;21219
10;0.9047551722512842;0.9017802621071915;0.9032652677143126;19198;21289;21219
11;0.9045666619539092;0.9010844561288203;0.9028222013170273;19194;21301;21219
12;0.9040953862104717;0.9008687485325194;0.902479183327845;19184;21295;21219
13;0.9043310240821905;0.9011881839102053;0.9027568686488522;19189;21293;21219
14;0.903105707149253;0.900220792032696;0.9016609419846611;19163;21287;21219
Ch;0.9064988925020029;0.9013167143057964;0.9039003759398496;19235;21341;21219
Ran;0.8861397803855036;0.8807438287507612;0.8834335651193385;18803;21349;21219
