TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
90 sentences were reranked out of 100

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8703403565640194;0.8839506172839506;0.8770926908942426;1074;1215;1234
1;0.8922204213938412;0.8879032258064516;0.8900565885206144;1101;1240;1234
2;0.893030794165316;0.8872785829307569;0.8901453957996769;1102;1242;1234
3;0.8905996758508914;0.8848631239935588;0.8877221324717285;1099;1242;1234
4;0.8897893030794165;0.882636655948553;0.8861985472154963;1098;1244;1234
5;0.8922204213938412;0.885048231511254;0.8886198547215496;1101;1244;1234
6;0.8922204213938412;0.8857602574416734;0.8889786031489705;1101;1243;1234
7;0.8922204213938412;0.8836276083467095;0.8879032258064516;1101;1246;1234
8;0.8946515397082658;0.8860353130016051;0.8903225806451613;1104;1246;1234
9;0.8897893030794165;0.882636655948553;0.8861985472154963;1098;1244;1234
10;0.893030794165316;0.8887096774193548;0.8908649959579628;1102;1240;1234
11;0.8938411669367909;0.8902340597255851;0.8920339668418924;1103;1239;1234
12;0.8938411669367909;0.8902340597255851;0.8920339668418924;1103;1239;1234
13;0.8946515397082658;0.8903225806451613;0.8924818108326596;1104;1240;1234
14;0.8954619124797407;0.8918482647296206;0.8936514355034372;1105;1239;1234
Ch;0.8946515397082658;0.8803827751196173;0.887459807073955;1104;1254;1234
Ran;0.8865478119935171;0.8745003996802558;0.8804828973843059;1094;1251;1234
